Provincia,Comune,Grado Scolastico,Descrizione Scuola,Cod Sede,Cod Scuola,Denominazione Scuola,Indirizzo e n. civico,C.A.P.,Comunita Collinare,Comunita Montana
AL,ACQUI TERME,1,SCUOLA D'INFANZIA,60011002,AL1A00100R,MOISO,VIA F.LLI MOISO 28,15011,,
AL,ACQUI TERME,1,SCUOLA D'INFANZIA,60011003,AL1A01002N,SACRO CUORE,PIAZZA SAN GUIDO 14,15011,,
AL,ACQUI TERME,1,SCUOLA D'INFANZIA,60011004,ALAA010024,DI VIA NIZZA,VIA NIZZA 185,15011,,
AL,ACQUI TERME,1,SCUOLA D'INFANZIA,60011005,ALAA011031,DI VIA A. MORO,VIA A. MORO,15011,,
AL,ACQUI TERME,1,SCUOLA D'INFANZIA,60011006,ALAA010013,DI VIA SAVONAROLA,VIA SAVONAROLA N. 27,15011,,
AL,ACQUI TERME,2,SCUOLA PRIMARIA,60011007,ALEE010018,G. SARACCO,VIA XX SETTEMBRE 20,15011,,
AL,ACQUI TERME,2,SCUOLA PRIMARIA,60011008,AL1E00300A,SANTO SPIRITO,CORSO CAVOUR 1,15011,,
AL,ACQUI TERME,2,SCUOLA PRIMARIA,60011009,ALEE011014,VIA SAN DEFENDENTE,VIA SAN DEFENDENTE 29,15011,,
AL,ACQUI TERME,2,SCUOLA PRIMARIA,60011010,ALEE011025,G. FANCIULLI,VIALE ACQUEDOTTO ROMANO 34,15011,,
AL,ACQUI TERME,3,SCUOLA SEC. I GRADO,60011011,ALMM081008,G. BELLA,VIA MARENCO 2,15011,,
AL,ACQUI TERME,3,SCUOLA SEC. I GRADO,60011012,AL1M00200Q,SANTO SPIRITO,CORSO CAVOUR 1,15011,,
AL,ACQUI TERME,3,SCUOLA SEC. I GRADO,60011013,ALMM081008,G. BELLA,CORSO ROMA 2,15011,,
AL,ACQUI TERME,4,IST. D'ARTE,60011014,ALSD00101B,JONA OTTOLENGHI,VIA DE GASPERI 66,15011,,
AL,ACQUI TERME,4,IST. PROF. IND. E ARTIG.,60011015,ALRI010011,ENRICO FERMI - ACQUI,VIA MORIONDO 54,15011,,
AL,ACQUI TERME,4,IST. PROF. IND. E ARTIG.,60011016,ALRI010509,ENRICO FERMI - ACQUI,VIA MORIONDO 54,15011,,
AL,ACQUI TERME,4,IST. PROF. SERV. COMM. TURIS. PUBBL.,60011017,ALRC003015,F. TORRE,CORSO DIVISIONE ACQUI 88,15011,,
AL,ACQUI TERME,4,IST. TECNICO COMMERCIALE,60011018,ALTD00301C,VINCI,VIA MORIONDO 58,15011,,
AL,ACQUI TERME,4,IST. TECNICO PER IL TURISMO,60011019,ALTN00301A,F. TORRE,CORSO DIVISIONE 88,15011,,
AL,ACQUI TERME,4,IST. TECNICO PERITI AZIENDALI,60011020,ALTD00301C,VINCI,VIA MORIONDO 58,15011,,
AL,ACQUI TERME,4,I. T. INDUSTRIALE/I.T. SETT TECNOLOGICO,60011021,ALTF00301P,C. BARLETTI,VIA CARLO MARX,15011,,
AL,ACQUI TERME,4,LICEO CLASSICO,60011022,ALPS001011,G. PARODI,CORSO BAGNI 1,15011,,
AL,ACQUI TERME,4,LICEO SCIENTIFICO,60011023,ALPS001011,G. PARODI,VIA DE GASPERI 66,15011,,
AL,ALESSANDRIA,1,SCUOLA D'INFANZIA,60011024,AL1A00200L,ANGELO CUSTODE,VIA GALVANI 3,15100,,
AL,ALESSANDRIA,1,SCUOLA D'INFANZIA,60011025,AL1A005004,MARIA IMMACOLATA,VIA TORTONA 48,15100,,
AL,ALESSANDRIA,1,SCUOLA D'INFANZIA,60011026,AL1A004008,MARIA AUSILIATRICE,VIA GAGLIAUDO 3,15121,,
AL,ALESSANDRIA,1,SCUOLA D'INFANZIA,60011027,AL1A00403B,VALLE SS B.,PIAZZA DOSSENA 17,15100,,
AL,ALESSANDRIA,1,SCUOLA D'INFANZIA,60011028,ALAA00103A,F. NOVELLI,VIA PIETRO MILANESE 6,15122,,
AL,ALESSANDRIA,1,SCUOLA D'INFANZIA,60011029,AL1A00300C,M. C. BELTRAMI,VIA COLOMBO 35,15100,,
AL,ALESSANDRIA,1,SCUOLA D'INFANZIA,60011030,AL1A00900B,Antonio FRANZINI,CORSO ACQUI 60,15100,,
AL,ALESSANDRIA,1,SCUOLA D'INFANZIA,60011031,AL1A00800G,SAN GIUSEPPE,VIA GENOVA 227,15100,,
AL,ALESSANDRIA,1,SCUOLA D'INFANZIA,60011032,AL1A00600X,OPERA PIA ASILI INFANTILI,PIAZZETTA MONSERRATO 1,15121,,
AL,ALESSANDRIA,1,SCUOLA D'INFANZIA,60011033,ALAA001018,G. MARIOTTI,VIA PISTOIA 3,15121,,
AL,ALESSANDRIA,1,SCUOLA D'INFANZIA,60011034,ALAA82501Q,GIANNI RODARI,VIA DE GASPERI,15100,,
AL,ALESSANDRIA,1,SCUOLA D'INFANZIA,60011035,AL1A04600A,PIETRO MICCA,VIA PIETRO MICCA 15,15100,,
AL,ALESSANDRIA,1,SCUOLA D'INFANZIA,60011036,ALAA003021,VIA MARSALA,VIA MARSALA 6,15100,,
AL,ALESSANDRIA,1,SCUOLA D'INFANZIA,60011037,ALAA00301X,VIA SCLAVO,VIA SCLAVO 11,15100,,
AL,ALESSANDRIA,1,SCUOLA D'INFANZIA,60011038,ALAA00402R,MARY POPPINS,VIA BENEDETTO CROCE 13/A,15100,,
AL,ALESSANDRIA,1,SCUOLA D'INFANZIA,60011039,ALAA00401Q,GOBETTI,CORSO MONFERRATO,15100,,
AL,ALESSANDRIA,1,SCUOLA D'INFANZIA,60011040,AL1A05100T,DI SAN MICHELE,VIA REMOTTI 58,15100,,
AL,ALESSANDRIA,1,SCUOLA D'INFANZIA,60011041,AL1A050002,S. SANTAROSA,VIA RETTORIA 17/D,15100,,
AL,ALESSANDRIA,1,SCUOLA D'INFANZIA,60011042,AL1A048002,BOVIO,VIA GUASCO 156,15100,,
AL,ALESSANDRIA,1,SCUOLA D'INFANZIA,60011043,AL1A04900T,DI VIA CAMPI,VIA CAMPI 51,15100,,
AL,ALESSANDRIA,1,SCUOLA D'INFANZIA,60011044,AL1A00700Q,DON BOSCO,CORSO ACQUI 400,15100,,
AL,ALESSANDRIA,1,SCUOLA D'INFANZIA,60011045,ALAA81701R,DI MANDROGNE,VIA COMUNALE 4,15100,,
AL,ALESSANDRIA,1,SCUOLA D'INFANZIA,60011046,ALAA81702T,DI SAN GIULIANO VECCHIO,VIA GHILINA 3,15100,,
AL,ALESSANDRIA,1,SCUOLA D'INFANZIA,60011047,AL1A05300D,LUIGI VIGNETTA,VIA GRAMSCI 7,15100,,
AL,ALESSANDRIA,1,SCUOLA D'INFANZIA,60011048,AL1A05200N,DI SPINETTA,VIA WALTER GUASTA 5,15100,,
AL,ALESSANDRIA,1,SCUOLA D'INFANZIA,60011049,AL1A047006,CARDUCCI,PIAZZA CARDUCCI 10,15100,,
AL,ALESSANDRIA,1,SCUOLA D'INFANZIA,60011050,ALAA007017,A. SABIN,VIA U. GIORDANO,15100,,
AL,ALESSANDRIA,1,SCUOLA D'INFANZIA,60011051,ALAA00104B,ELSA MALPAGANTI,VIA DELLA CHIESA 5,15121,,
AL,ALESSANDRIA,1,SCUOLA D'INFANZIA,60011052,ALAA82502R,GALILEO GALILEI,VIA GALILEI 16,15100,,
AL,ALESSANDRIA,1,SCUOLA D'INFANZIA,60011053,ALAA815026,CANTALUPO,VIA ACQUI 2,15100,,
AL,ALESSANDRIA,1,SCUOLA D'INFANZIA,60011054,ALAA815037,DI VIA NENNI,VIA NENNI 72/B,15100,,
